Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil;State;State2;Experiment
No-193;CFI1_1_Utobara_Nodule;CFI1;CFI;Nodule;Utobara;No;No;LORE1
No-194;CFI1_2_Utobara_Nodule;CFI1;CFI;Nodule;Utobara;No;No;LORE1
No-195;CFI1_3_Utobara_Nodule;CFI1;CFI;Nodule;Utobara;No;No;LORE1
No-196;CFI1_4_Utobara_Nodule;CFI1;CFI;Nodule;Utobara;No;No;LORE1
No-197;CFI1_5_Utobara_Nodule;CFI1;CFI;Nodule;Utobara;No;No;LORE1
No-198;CFI1_6_Utobara_Nodule;CFI1;CFI;Nodule;Utobara;No;No;LORE1
No-211;CFI2_1_Utobara_Nodule;CFI2;CFI;Nodule;Utobara;No;No;LORE1
No-212;CFI2_2_Utobara_Nodule;CFI2;CFI;Nodule;Utobara;No;No;LORE1
No-213;CFI2_3_Utobara_Nodule;CFI2;CFI;Nodule;Utobara;No;No;LORE1
No-214;CFI2_4_Utobara_Nodule;CFI2;CFI;Nodule;Utobara;No;No;LORE1
No-215;CFI2_5_Utobara_Nodule;CFI2;CFI;Nodule;Utobara;No;No;LORE1
No-216;CFI2_6_Utobara_Nodule;CFI2;CFI;Nodule;Utobara;No;No;LORE1
Rh-013;Gifu_1_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso;Ref_Ref;Ref;LORE1
Rh-014;Gifu_2_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso;Ref_Ref;Ref;LORE1
Rh-015;Gifu_3_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso;Ref_Ref;Ref;LORE1
Rh-016;Gifu_4_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso;Ref_Ref;Ref;LORE1
Rh-017;Gifu_5_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso;Ref_Ref;Ref;LORE1
Rh-018;Gifu_6_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso;Ref_Ref;Ref;LORE1
Rh-043;NLEAP0_1_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso;roomie1-1;LORE1;LORE1
Rh-044;NLEAP0_2_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso;roomie1-1;LORE1;LORE1
Rh-045;NLEAP0_3_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso;roomie1-1;LORE1;LORE1
Rh-046;NLEAP0_4_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso;roomie1-1;LORE1;LORE1
Rh-047;NLEAP0_5_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso;roomie1-1;LORE1;LORE1
Rh-048;NLEAP0_6_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso;roomie1-1;LORE1;LORE1
Rh-061;NLEAP1_1_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso;roomie1-2;LORE1;LORE1
Rh-062;NLEAP1_2_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso;roomie1-2;LORE1;LORE1
Rh-063;NLEAP1_3_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso;roomie1-2;LORE1;LORE1
Rh-064;NLEAP1_4_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso;roomie1-2;LORE1;LORE1
Rh-065;NLEAP1_5_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso;roomie1-2;LORE1;LORE1
Rh-066;NLEAP1_6_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso;roomie1-2;LORE1;LORE1
Rh-079;CFI1_1_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-080;CFI1_2_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-081;CFI1_3_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-082;CFI1_4_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-083;CFI1_5_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-084;CFI1_6_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-097;CFI2_1_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-098;CFI2_2_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-099;CFI2_3_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-100;CFI2_4_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-101;CFI2_5_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-102;CFI2_6_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso;No;No;LORE1
Rh-121;Gifu_1_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;LORE1
Rh-122;Gifu_2_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;LORE1
Rh-123;Gifu_3_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;LORE1
Rh-124;Gifu_4_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;LORE1
Rh-125;Gifu_5_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;LORE1
Rh-126;Gifu_6_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;LORE1
Rh-151;NLEAP0_1_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara;roomie1-1;LORE1;LORE1
Rh-152;NLEAP0_2_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara;roomie1-1;LORE1;LORE1
Rh-153;NLEAP0_3_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara;roomie1-1;LORE1;LORE1
Rh-154;NLEAP0_4_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara;roomie1-1;LORE1;LORE1
Rh-155;NLEAP0_5_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara;roomie1-1;LORE1;LORE1
Rh-156;NLEAP0_6_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara;roomie1-1;LORE1;LORE1
Rh-169;NLEAP1_1_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara;roomie1-2;LORE1;LORE1
Rh-170;NLEAP1_2_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara;roomie1-2;LORE1;LORE1
Rh-171;NLEAP1_3_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara;roomie1-2;LORE1;LORE1
Rh-172;NLEAP1_4_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara;roomie1-2;LORE1;LORE1
Rh-173;NLEAP1_5_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara;roomie1-2;LORE1;LORE1
Rh-174;NLEAP1_6_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara;roomie1-2;LORE1;LORE1
Rh-187;CFI1_1_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-188;CFI1_2_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-189;CFI1_3_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-190;CFI1_4_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-191;CFI1_5_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-192;CFI1_6_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-205;CFI2_1_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-206;CFI2_2_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-207;CFI2_3_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-208;CFI2_4_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-209;CFI2_5_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara;No;No;LORE1
Rh-210;CFI2_6_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara;No;No;LORE1
En-25;UBS02_1_Endosphere;UBS02;UBS02;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-26;UBS02_2_Endosphere;UBS02;UBS02;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
En-27;UBS02_3_Endosphere;UBS02;UBS02;Endosphere;Utobara;Ref_Alt;Alt;HAPLOTYPE
