Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil
Rh-066;NLEAP1_6_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso
Rh-079;CFI1_1_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso
Rh-080;CFI1_2_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso
Rh-081;CFI1_3_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso
Rh-082;CFI1_4_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso
Rh-083;CFI1_5_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso
Rh-084;CFI1_6_Aso_Rhizosphere;CFI1;CFI;Rhizosphere;Aso
Rh-097;CFI2_1_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso
Rh-098;CFI2_2_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso
Rh-099;CFI2_3_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso
Rh-100;CFI2_4_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso
Rh-101;CFI2_5_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso
Rh-102;CFI2_6_Aso_Rhizosphere;CFI2;CFI;Rhizosphere;Aso
Rh-121;Gifu_1_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara
Rh-122;Gifu_2_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara
Rh-123;Gifu_3_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara
Rh-124;Gifu_4_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara
Rh-125;Gifu_5_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara
Rh-126;Gifu_6_Utobara_Rhizosphere;Gifu;Gifu;Rhizosphere;Utobara
Rh-151;NLEAP0_1_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara
Rh-152;NLEAP0_2_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara
Rh-153;NLEAP0_3_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara
Rh-154;NLEAP0_4_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara
Rh-155;NLEAP0_5_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara
Rh-156;NLEAP0_6_Utobara_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Utobara
Rh-169;NLEAP1_1_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara
Rh-170;NLEAP1_2_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara
Rh-171;NLEAP1_3_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara
Rh-172;NLEAP1_4_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara
Rh-173;NLEAP1_5_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara
Rh-174;NLEAP1_6_Utobara_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Utobara
Rh-187;CFI1_1_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara
Rh-188;CFI1_2_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara
Rh-189;CFI1_3_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara
Rh-190;CFI1_4_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara
Rh-191;CFI1_5_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara
Rh-192;CFI1_6_Utobara_Rhizosphere;CFI1;CFI;Rhizosphere;Utobara
Rh-205;CFI2_1_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara
Rh-206;CFI2_2_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara
Rh-207;CFI2_3_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara
Rh-208;CFI2_4_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara
Rh-209;CFI2_5_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara
Rh-210;CFI2_6_Utobara_Rhizosphere;CFI2;CFI;Rhizosphere;Utobara
