SampleID	Sample number	Genotype_compartment	Genotype_compartment_inoculum	Genotype	Inoculum	Bio_rep	Cluster
MG76_1	73	MG76_RZ	MG76_RZ_SC	MG76	SC	one	one
MG77_1	74	MG77_RZ	MG77_RZ_SC	MG77	SC	one	zero
MG78_1	75	MG78_RZ	MG78_RZ_SC	MG78	SC	one	one
MG79_1	76	MG79_RZ	MG79_RZ_SC	MG79	SC	one	one
MG80_1	77	MG80_RZ	MG80_RZ_SC	MG80	SC	one	zero
MG81_1	78	MG81_RZ	MG81_RZ_SC	MG81	SC	one	one
MG82_1	79	MG82_RZ	MG82_RZ_SC	MG82	SC	one	one
MG83_1	80	MG83_RZ	MG83_RZ_SC	MG83	SC	one	one
MG84_1	81	MG84_RZ	MG84_RZ_SC	MG84	SC	one	one
MG85_1	82	MG85_RZ	MG85_RZ_SC	MG85	SC	one	one
MG86_1	83	MG86_RZ	MG86_RZ_SC	MG86	SC	one	one
MG88_1	84	MG88_RZ	MG88_RZ_SC	MG88	SC	one	three
MG89_1	85	MG89_RZ	MG89_RZ_SC	MG89	SC	one	three
MG90_1	86	MG90_RZ	MG90_RZ_SC	MG90	SC	one	one
MG91_1	87	MG91_RZ	MG91_RZ_SC	MG91	SC	one	one
MG92_1	88	MG92_RZ	MG92_RZ_SC	MG92	SC	one	one
MG93_1	89	MG93_RZ	MG93_RZ_SC	MG93	SC	one	one
MG94_1	90	MG94_RZ	MG94_RZ_SC	MG94	SC	one	one
MG95_1	91	MG95_RZ	MG95_RZ_SC	MG95	SC	one	one
MG96_1	92	MG96_RZ	MG96_RZ_SC	MG96	SC	one	one
MG97_1	93	MG97_RZ	MG97_RZ_SC	MG97	SC	one	one
MG98_1	94	MG98_RZ	MG98_RZ_SC	MG98	SC	one	one
MG99_1	95	MG99_RZ	MG99_RZ_SC	MG99	SC	one	one
MG100_1	96	MG100_RZ	MG100_RZ_SC	MG100	SC	one	one
MG101_1	97	MG101_RZ	MG101_RZ_SC	MG101	SC	one	one
MG102_1	98	MG102_RZ	MG102_RZ_SC	MG102	SC	one	one
MG103_1	99	MG103_RZ	MG103_RZ_SC	MG103	SC	one	one
MG104_1	100	MG104_RZ	MG104_RZ_SC	MG104	SC	one	one
MG105_1	101	MG105_RZ	MG105_RZ_SC	MG105	SC	one	one
MG106_1	102	MG106_RZ	MG106_RZ_SC	MG106	SC	one	one
MG107_1	103	MG107_RZ	MG107_RZ_SC	MG107	SC	one	one
MG109_1	104	MG109_RZ	MG109_RZ_SC	MG109	SC	one	one
MG110_1	105	MG110_RZ	MG110_RZ_SC	MG110	SC	one	one
MG111_1	106	MG111_RZ	MG111_RZ_SC	MG111	SC	one	one
MG112_1	107	MG112_RZ	MG112_RZ_SC	MG112	SC	one	one
MG113_1	108	MG113_RZ	MG113_RZ_SC	MG113	SC	one	one
MG115_1	109	MG115_RZ	MG115_RZ_SC	MG115	SC	one	one
MG116_1	110	MG116_RZ	MG116_RZ_SC	MG116	SC	one	one
MG117_1	111	MG117_RZ	MG117_RZ_SC	MG117	SC	one	one
MG118_1	112	MG118_RZ	MG118_RZ_SC	MG118	SC	one	one
MG119_1	113	MG119_RZ	MG119_RZ_SC	MG119	SC	one	one
MG120_1	114	MG120_RZ	MG120_RZ_SC	MG120	SC	one	one
MG121_1	115	MG121_RZ	MG121_RZ_SC	MG121	SC	one	one
MG122_1	116	MG122_RZ	MG122_RZ_SC	MG122	SC	one	one
MG123_1	117	MG123_RZ	MG123_RZ_SC	MG123	SC	one	one
MG124_1	118	MG124_RZ	MG124_RZ_SC	MG124	SC	one	two
MG125_1	119	MG125_RZ	MG125_RZ_SC	MG125	SC	one	two
MG126_1	120	MG126_RZ	MG126_RZ_SC	MG126	SC	one	two
MG127_1	121	MG127_RZ	MG127_RZ_SC	MG127	SC	one	three
MG128_1	122	MG128_RZ	MG128_RZ_SC	MG128	SC	one	three
